x1,x2,G,F1,F2,F3,F4
140.6687755,145.2192678,-1.836743192,131.4820741,90.79472592,95.67539242,10.48461494
96.62772434,111.8592058,-0.588812737,77.46422411,60.24006027,81.7016594,65.59969507
149.9145077,145.2558898,-5.181467804,138.0456207,100.0270735,95.25592813,4.744880484
53.76408453,141.9455277,-2.520827937,92.0225429,8.890604929,133.0989538,96.5723871
50.51069266,51.59493811,-6.415001495,1.674704322,98.40638705,99.50209094,139.9345507
141.4952715,57.02779459,-1.423108234,91.76477871,130.4423846,11.03269245,93.36038445
146.8046747,142.7264893,-2.962411401,134.0497925,97.07754115,92.78152796,7.944435863
50.58657582,129.8253259,-0.741860979,79.82748103,20.18319959,127.4955355,101.4398658
52.92202338,59.02653539,-2.513513566,9.487705823,91.0203795,97.49672756,133.0424925
143.8424974,52.09988258,-3.758503783,93.86598865,135.6128582,6.505716346,98.09356671
149.8908436,134.1816625,-1.702727275,130.6320517,101.1355548,84.18173324,15.81871415
140.9228686,61.67648922,-0.268380409,91.6695611,126.7596568,14.78968273,88.7887204
141.2052985,149.4002178,-3.439377113,134.9029643,91.20727063,99.78852672,8.815129778
69.35402176,149.3344907,-0.855231142,101.2023676,19.36546051,127.9496575,80.64872416
149.768702,59.41939549,-3.381217641,100.212369,134.7539974,9.422234881,90.58089982
53.45371925,130.5761876,-0.170704338,80.65017167,19.72847342,125.75256,98.48080429
145.0561976,143.2755849,-2.541256799,133.1766324,95.29374824,93.40650894,8.346193238
142.3786144,50.00305573,-4.090878696,92.37861446,136.136686,7.621386201,100.2869602
149.793929,58.6870234,-3.633489737,100.1713165,135.2659897,8.689467232,91.31320913
140.0559812,141.9079535,-0.821569276,128.674596,90.41880872,92.44433686,12.82048076
135.8320658,50.26882818,-2.031273416,85.83248681,131.5805843,14.17048437,100.7325022
149.867352,50.57387065,-7.130320492,99.86900081,140.9221175,0.589001706,99.42621784
50.07746212,140.7629024,-3.502190715,90.76293547,9.237422378,134.9904368,100.3485802
141.8713438,144.5166073,-1.956692759,131.8094567,92.03483805,94.86550534,9.805235676
117.4772192,100.3221216,-0.212258252,84.17535881,83.7918058,59.91700249,59.37695577
52.07004901,50.3699559,-6.253858751,2.102848138,99.65154685,97.93064979,139.7011846
63.1319087,51.62463177,-1.839044744,13.23202383,99.24797277,86.88328213,131.2393933
145.7350177,58.10186609,-2.342194247,96.07722858,132.7044108,9.155889248,91.99704936
57.47787749,147.1762766,-3.029307156,97.46356958,7.993251238,134.1773897,92.56520171
149.5170076,135.458314,-1.871288228,131.1745335,100.5738307,85.45967891,14.54970489
